"long","lat","sensor_name","Postcode","Postcode3","Address","Environment Type","Zone","Latitude","Longitude","Altitude (m)"
-6.6191,54.4833,"25353 [WEATHER]","BT71  ","BT",,,,,,
-2.7334,54.935,"25618 [WEATHER]","CA8   ","CA",,,,,,
-2.6505,55.9213,"262 [WEATHER]","EH41 4","EH",,,,,,
-2.6609,55.7375,"267 [WEATHER]","TD2 6 ","TD",,,,,,
-1.5146,53.6721,"2710 [WEATHER]","WF2 8 ","WF",,,,,,
-2.9046,55.5409,"279 [WEATHER]","TD7 5 ","TD",,,,,,
-2.467,55.6028,"286 [WEATHER]","TD5 7 ","TD",,,,,,
-1.9431,55.1542,"300 [WEATHER]","NE61 4","NE",,,,,,
-2.7886,50.8213,"30084 [WEATHER]","DT8   ","DT",,,,,,
-4.1002,51.9182,"30448 [WEATHER]","SA32  ","SA",,,,,,
-2.0507,55.7326,"30747 [WEATHER]","TD15 2","TD",,,,,,
-3.9239,56.6207,"30810 [WEATHER]","PH15 2","PH",,,,,,
-1.2159,54.4278,"347 [WEATHER]","TS9 7 ","TS",,,,,,
-0.6241,54.4807,"359 [WEATHER]","YO21 3","YO",,,,,,
-0.421,54.2726,"360 [WEATHER]","YO12 4","YO",,,,,,
-0.6415,54.1048,"367 [WEATHER]","YO17 8","YO",,,,,,
-4.9151,58.3112,"38 [WEATHER]","IV27 4","IV",,,,,,
-0.0077,53.253,"3805 [WEATHER]","LN9 6 ","LN",,,,,,
-0.5019,53.0309,"386 [WEATHER]","NG34 8","NG",,,,,,
-0.1712,53.0935,"393 [WEATHER]","LN4 4 ","LN",,,,,,
0.348,53.1476,"403 [WEATHER]","PE25 2","PE",,,,,,
1.025,51.9592,"439 [WEATHER]","CO7 6 ","CO",,,,,,
0.1311,52.1935,"454 [WEATHER]","CB2 2 ","CB",,,,,,
1.4848,52.6105,"4934 [WEATHER]","NR13 4","NR",,,,,,
-3.9905,58.5613,"50 [WEATHER]","KW14 7","KW",,,,,,
-2.1623,54.0996,"509 [WEATHER]","BD24 9","BD",,,,,,
0.8325,52.1719,"5100 [WEATHER]","IP30 0","IP",,,,,,
-1.4899,53.381,"525 [WEATHER]","S10 2 ","S",,,,,,
-1.1467,53.8275,"535 [WEATHER]","YO8 0 ","YO",,,,,,
-1.9124,53.2577,"539 [WEATHER]","SK17 6","SK",,,,,,
-5.2383,56.3079,"55831 [WEATHER]","PA35 1","PA",,,,,,
-5.7759,57.696,"55890 [WEATHER]","IV21 2","IV",,,,,,
-4.3728,57.5945,"55896 [WEATHER]","IV7 8 ","IV",,,,,,
-4.2828,55.6148,"56107 [WEATHER]","KA17 0","KA",,,,,,
-3.3217,55.6037,"56130 [WEATHER]","EH45 9","EH",,,,,,
-4.1047,53.1881,"56339 [WEATHER]","LL57 4","LL",,,,,,
-1.5871,53.0988,"56423 [WEATHER]","DE4 4 ","DE",,,,,,
-3.5415,57.3374,"56463 [WEATHER]","PH26 3","PH",,,,,,
-3.21084,51.49536,"56923 [POLLEN]","CF",,"University, Cardiff CF5 2YB, UK",,,,,
-0.4252,53.84243,"56924 [POLLEN]","HU",,"8 Citadel Ct, Beverley HU17 0AF, UK",,,,,
1.1997,52.05638,"56928 [POLLEN]","IP",,"Ipswich Hospital, Ipswich IP4 5PD, UK",,,,,
-1.29944,50.71052,"56929 [POLLEN]","PO",,"Helipad, Toy Library, 5XE, Dodnor Ln, Newport, United Kingdom",,,,,
-4.13725,50.37461,"56933 [POLLEN]","PL",,"40 Drake Circus, Plymouth PL4 8AB, UK",,,,,
-1.05194,53.94819,"56936 [POLLEN]","YO",,"396 Harewood Way, Heslington, York YO10 5DS, UK",,,,,
-5.93784,54.58537,"56952 [POLLEN]","BT",,"14-40 Fitzwilliam St, Belfast BT9 6AW, UK",,,,,
-1.12227,52.62155,"56954 [POLLEN]","LE",,"Unnamed Road, Leicester LE1 7RD, UK",,,,,
-0.11533,51.51022,"56956 [POLLEN]","WC",,"A3211, London, UK",,,,,
-2.24165,52.19716,"56957 [POLLEN]","WR",,"University of Worcester, Henwick Grove, Worcester WR2 6AJ, United Kingdom",,,,,
-2.89674,53.19835,"57070 [POLLEN]","CH",,"3 Cheyney Rd, Chester CH1 4BR, UK",,,,,
-5.055,55.8254,"57118 [WEATHER]","PA20 9","PA",,,,,,
-3.7201,51.5548,"57233 [WEATHER]","SA13 2","SA",,,,,,
-3.53101,50.73599,"57263 [POLLEN]","EX",,"Streatham Court, Exeter EX4 4PU, UK",,,,,
0.189,53.3983,"57266 [WEATHER]","LN11 7","LN",,,,,,
-5.3353,58.015,"57267 [WEATHER]","IV26 2","IV",,,,,,
-5.596,57.7745,"60 [WEATHER]","IV22 2","IV",,,,,,
-1.2625,51.7607,"606 [WEATHER]","OX2 6 ","OX",,,,,,
-0.9948,51.669,"609 [WEATHER]","OX9 5 ","OX",,,,,,
-0.6413,51.5062,"6182 [WEATHER]","SL1 9 ","SL",,,,,,
-2.7137,55.0648,"61875 [WEATHER]","CA6 6 ","CA",,,,,,
-2.4665,52.5235,"61908 [WEATHER]","WV16 6","WV",,,,,,
-2.5437,57.3207,"62004 [WEATHER]","AB52  ","AB",,,,,,
-5.0741,54.8629,"62015 [WEATHER]","DG9 8 ","DG",,,,,,
-0.6559,51.6641,"62031 [WEATHER]","HP7 0 ","HP",,,,,,
-1.8616,54.1643,"62033 [WEATHER]","HG3 5 ","HG",,,,,,
-2.5808,54.5383,"62037 [WEATHER]","CA10 3","CA",,,,,,
-0.0896,51.9429,"62057 [WEATHER]","SG9 9 ","SG",,,,,,
-4.2764,55.1444,"62076 [WEATHER]","DG7 3 ","DG",,,,,,
-2.2433,54.5131,"62082 [WEATHER]","CA17 4","CA",,,,,,
-1.5571,52.8641,"62119 [WEATHER]","DE65 6","DE",,,,,,
-3.4739,52.3639,"62142 [WEATHER]","LD6 5 ","LD",,,,,,
-4.7801,55.3556,"62149 [WEATHER]","KA19","KA",,,,,,
-3.3097,57.3192,"62151 [WEATHER]","AB37 9","AB",,,,,,
-0.8931,52.3014,"62152 [WEATHER]","NN6 9 ","NN",,,,,,
-1.9499,53.0554,"628 [WEATHER]","ST10 2","ST",,,,,,
-2.8895,52.6733,"636 [WEATHER]","SY5 9 ","SY",,,,,,
-2.8404,52.7243,"638 [WEATHER]","SY4 1 ","SY",,,,,,
-5.6521,57.3375,"64 [WEATHER]","IV52 8","IV",,,,,,
-2.5844,51.9108,"671 [WEATHER]","HR9 5 ","HR",,,,,,
-1.9945,51.7085,"688 [WEATHER]","GL7 6 ","GL",,,,,,
-0.449,51.4787,"708 [WEATHER]","TW6 2 ","TW",,,,,,
-0.4153,51.5482,"709 [WEATHER]","HA4 6 ","HA",,,,,,
-0.319,51.2603,"720 [WEATHER]","RH5 6 ","RH",,,,,,
0.0597,50.8961,"7228 [WEATHER]","BN8 5 ","BN",,,,,,
0.1362,51.2035,"730 [WEATHER]","TN8 7 ","TN",,,,,,
0.8796,51.2965,"757 [WEATHER]","ME13 0","ME",,,,,,
-1.4778,51.3193,"7621 [WEATHER]","SP11 0","SP",,,,,,
-0.6751,50.7813,"782 [WEATHER]","PO21 1","PO",,,,,,
0.2846,50.7587,"808 [WEATHER]","BN20 7","BN",,,,,,
0.5716,50.8552,"818 [WEATHER]","TN34 1","TN",,,,,,
-3.4372,50.9526,"8231 [WEATHER]","EX16 7","EX",,,,,,
-1.1117,51.6026,"825 [WEATHER]","OX10 8","OX",,,,,,
-0.9366,51.4408,"830 [WEATHER]","RG6 2 ","RG",,,,,,
-1.8224,50.7337,"843 [WEATHER]","BH7 6 ","BH",,,,,,
-1.7708,50.8837,"844 [WEATHER]","BH24 3","BH",,,,,,
-1.5685,51.1493,"847 [WEATHER]","SO20 8","SO",,,,,,
-1.3339,51.0084,"855 [WEATHER]","SO21 2","SO",,,,,,
-4.2959,50.7104,"8605 [WEATHER]","EX21 5","EX",,,,,,
-0.9846,50.7845,"863 [WEATHER]","PO11 9","PO",,,,,,
-1.2118,50.5922,"877 [WEATHER]","PO38 1","PO",,,,,,
-1.1794,50.6231,"878 [WEATHER]","PO37 6","PO",,,,,,
-2.1133,51.4307,"883 [WEATHER]","SN15 2","SN",,,,,,
-1.8044,51.2013,"888 [WEATHER]","SP4 8 ","SP",,,,,,
-1.7532,51.1613,"889 [WEATHER]","SP4 7 ","SP",,,,,,
-3.8083,50.8626,"8898 [WEATHER]","EX17 6","EX",,,,,,
-1.183,60.1395,"9 [WEATHER]","ZE1 0 ","ZE",,,,,,
-2.8599,50.9408,"9092 [WEATHER]","TA19 0","TA",,,,,,
-5.4266,56.0344,"915 [WEATHER]","PA31 8","PA",,,,,,
-4.9838,56.0282,"926 [WEATHER]","PA23 8","PA",,,,,,
-2.9208,51.1146,"9280 [WEATHER]","TA7 0 ","TA",,,,,,
-5.153,55.592,"937 [WEATHER]","KA27 8","KA",,,,,,
-4.5659,56.0481,"949 [WEATHER]","G83 8 ","G",,,,,,
-2.4126,51.2729,"9529 [WEATHER]","BA3 5 ","BA",,,,,,
-4.3292,55.9733,"954 [WEATHER]","G62 8 ","G",,,,,,
-3.6851,56.0093,"963 [WEATHER]","FK3 9 ","FK",,,,,,
-4.0218,55.786,"980 [WEATHER]","ML3 6 ","ML",,,,,,
-3.7583,55.4164,"983 [WEATHER]","ML12 6","ML",,,,,,
-4.8922,55.7227,"996 [WEATHER]","KA23 9","KA",,,,,,
-2.1031362,57.1453481,"Aberdeen Union Street Roadside [AQ]","AB",,"179 Union St, Aberdeen AB11 6BB, UK","Traffic Urban","North East Scotland",57.144555,-2.106472,26
-2.0888228,57.1197619,"Aberdeen Wellington Road [AQ]","AB",,"Wellington Rd, Aberdeen AB12, UK","Traffic Urban","North East Scotland",57.133888,-2.094198,19
-2.094278,57.149717,"Aberdeen [AQ]","AB",,"79 Queen St, Aberdeen AB10 1AN, UK","Background Urban","North East Scotland",57.15736,-2.094278,20
-6.6322009,54.3350182,"Armagh Roadside [AQ]","BT",,"22 Markethill Rd, Armagh BT60 1NP, UK","Traffic Urban","Northern Ireland",54.353728,-6.654558,41
-0.709176,51.782763,"Aston Hill [AQ]","HP",,"Aston Hill, Halton, Buckinghamshire, HP22 5NQ, United Kingdom","Background Rural","North Wales",52.50385,-3.034178,370
-3.2431028,55.792323,"Auchencorth Moss [AQ]","EH",,"Springfield Rd, Penicuik EH26 8PR, UK","Background Rural","Central Scotland",55.79216,-3.2429,260
-6.2747672,54.8495084,"Ballymena Antrim Road [AQ]","BT",,"53 Antrim Rd, Ballymena BT42 2HB, UK","Traffic Urban","Northern Ireland",54.851491,-6.274961,53
-6.262428,54.857937,"Ballymena Ballykeel [AQ]","BT",,"Ballykeel, Ballymena BT42 4AL, UK","Background Urban","Northern Ireland",54.861595,-6.250873,59
-1.5137529,53.561483,"Barnsley Gawber [AQ]","S",,"14 Beever Ln, Barnsley S75 2RP, UK","Background Urban","Yorkshire & Humberside",53.56292,-1.510436,100
-4.0541334,51.0786717,"Barnstaple A39 [AQ]","EX",,"5 Bedford St, Barnstaple EX32 8JR, UK","Traffic Urban","South West",51.074793,-4.041924,13
-2.354155,51.391127,"Bath Roadside [AQ]","BA",,"14 Walcot Gate, Bath BA1 6AD, UK","Traffic Urban","South West",51.391127,-2.354155,27
-5.930879,54.597366,"Belfast Centre [AQ]","BT",,"9 Donegall Square N, Belfast BT1 5GJ, UK","Background Urban","Belfast Metropolitan Urban Area",54.59965,-5.928833,10
-5.9745011,54.5722824,"Belfast Stockman's Lane [AQ]","BT",,"110 Stockmans Ln, Belfast BT9 7JE, UK","Traffic Urban","Belfast Metropolitan Urban Area",54.572586,-5.974944,9
-1.290961,54.612537,"Billingham [AQ]","TS",,"John Whitehead Park, United Kingdom","Industrial Urban","Teesside Urban Area",54.60537,-1.275039,10
-3.0326453,53.3756645,"Birkenhead Borough Road [AQ]","CH",,"786A Borough Rd, Birkenhead CH42 9JG, UK","Traffic Urban","Birkenhead Urban Area",53.388511,-3.025014,7
-1.8846554,52.4881142,"Birmingham A4540 Roadside [AQ]","B",,"2 Lister St, Birmingham B7 4AG, UK","Traffic Urban","West Midlands Urban Area",52.47609,-1.875024,109
-1.8308359,52.4455838,"Birmingham Acocks Green [AQ]","B",,"144 Westley Rd, Birmingham B27 7UL, UK","Background Urban","West Midlands Urban Area",52.437165,-1.829999,134
-1.87,52.49,"Birmingham Ladywood [AQ]","B",,"93 Cato St, Birmingham B7 4TS, UK","Background Urban","West Midlands Urban Area",52.481346,-1.918235,134
-1.810777,52.52368,"Birmingham Tyburn [AQ]","B",,"41 Marshbrook Rd, Birmingham B24 0NJ, UK","Background Urban","West Midlands Urban Area",52.511722,-1.830583,93
-2.4484278,53.7475194,"Blackburn Accrington Road [AQ]","BB",,"220 Accrington Rd, Blackburn BB1 2AH, UK","Traffic Urban","North West & Merseyside",53.747751,-2.452724,142
-2.9970544,53.8069674,"Blackpool Marton [AQ]","FY",,"Unnamed Road, Blackpool FY4 4XN, UK","Background Urban","Blackpool Urban Area",53.80489,-3.007175,16
-0.2694338,51.6616566,"Borehamwood Meadow Park [AQ]","WD",,"Meadow Park, Meadow Rd, Borehamwood WD6 1TL, UK","Background Urban","Eastern",51.661229,-0.270671,85
-1.880769,50.719164,"Bournemouth [AQ]","BH",,"Exeter Road (Stand LL), Bournemouth BH2 5AN, UK","Background Urban","Bournemouth Urban Area",50.73957,-1.826744,30
-1.7567357,53.7704275,"Bradford Mayo Avenue [AQ]","BD",,"Mayo Avenue Mayo Rd, Bradford BD5 8HP, UK","Traffic Urban","West Yorkshire Urban Area",53.771245,-1.759774,187
-0.1460002,50.8398169,"Brighton Preston Park [AQ]","BN",,"Preston Park Clock Tower, The Ride, Brighton BN1 6HL, UK","Background Urban","Brighton/Worthing/Littlehampton",50.840836,-0.147572,10
-2.578111,51.464381,"Bristol St Paul's [AQ]","BS",,"40 Thomas St, Bristol BS2 9LL, UK","Background Urban","Bristol Urban Area",51.462839,-2.584482,15
-2.5836967,51.4549518,"Bristol Temple Way [AQ]","BS",,"Temple Way, Bristol BS2, UK","Traffic Urban","Bristol Urban Area",51.457968,-2.583975,13
-1.646878,52.821815,"Burton-on-Trent Horninglow [AQ]","DE",,"54 Carlton St, Burton-on-Trent DE13 0TF, UK","Background Urban","West Midlands",52.82105,-1.635718,46
-2.299201,53.552083,"Bury Whitefield Roadside [AQ]","M",,"52 Hampstead Dr, Whitefield, Manchester M45 7YA, UK","Traffic Urban","Greater Manchester Urban Area",53.559029,-2.293772,102
-3.205782,55.862281,"Bush Estate [AQ]","EH",,"2 New Woodside, Penicuik EH26 0PQ, UK","Background Rural","Central Scotland",55.862281,-3.205782,180
-0.124456,52.20237,"Cambridge Roadside [AQ]","SG",,"Hardwicke Rd, Sandy SG19 3BJ, UK","Traffic Urban","Eastern",52.20237,0.124456,19
-0.175269,51.54421,"Camden Kerbside [AQ]","NW",,"21 Finchley Rd, London NW6, UK","Traffic Urban","Greater London Urban Area",51.54421,-0.175269,50
-2.0245318,52.6899863,"Cannock A5190 Roadside [AQ]","WS",,"5 Church St, Cannock WS11 1DQ, UK","Traffic Urban","West Midlands",52.687298,-1.980821,182
1.098061,51.27399,"Canterbury [AQ]","CT",,"11 Best Ln, Canterbury CT1 2AU, UK","Background Urban","South East",51.27399,1.098061,35
-3.1746303,51.4809229,"Cardiff Centre [AQ]","CF",,"7 Bridge St, Cardiff CF10 2EF, UK","Background Urban","Cardiff Urban Area",51.48178,-3.17625,12
-3.1400743,51.5008042,"Cardiff Newport Road [AQ]","CF",,"Newport Rd, Cardiff CF3 4FA, UK","Traffic Urban","Cardiff Urban Area",51.49096,-3.152305,8
-2.945307,54.894834,"Carlisle Roadside [AQ]","CA",,"Sainsbury's, Carlisle CA2 5TR, UK","Traffic Urban","North West & Merseyside",54.894834,-2.945307,11
-2.672379,51.058186,"Charlton Mackrell [AQ]","TA",,"Wenlock Cottage, Ilchester Rd, Charlton Mackrell, Somerton TA11 6AB, UK","Background Rural","South West",51.05625,-2.68345,54
0.54797,51.374264,"Chatham Roadside [AQ]","ME",,"St Augustines Church, Chatham, Gillingham ME5 7EJ, UK","Traffic Urban","South East",51.374264,0.54797,80
-2.6735695,51.6416914,"Chepstow A48 [AQ]","NP",,"10 Nelson St, Chepstow NP16, UK","Traffic Urban","South Wales",51.638094,-2.678731,67
-1.4593691,53.2465769,"Chesterfield Loundsley Green [AQ]","S",,"Ettrick Close, Chesterfield S40 4LT, UK","Background Urban","East Midlands",53.244131,-1.454946,98
-1.456944,53.231722,"Chesterfield Roadside [AQ]","S",,"461 Chatsworth Rd, Chesterfield S40 3AD, UK","Traffic Urban","East Midlands",53.231722,-1.456944,96
-1.4385755,51.1455014,"Chilbolton Observatory [AQ]","SO",,"Unnamed Road, Stockbridge SO20 6AD, UK","Background Rural","South East",51.149617,-1.438228,78
-1.7920987,50.7397844,"Christchurch Barrack Road [AQ]","BH",,"107 Barrack Rd, Christchurch BH23 2AL, UK","Traffic Urban","Bournemouth Urban Area",50.735454,-1.780888,3
-1.5664579,52.424481,"Coventry Allesley [AQ]","CV",,"138-140 Birmingham Rd, Allesley, Coventry CV5 9HA, UK","Background Urban","Coventry/Bedworth",52.411563,-1.560228,98
-1.466583,52.4059862,"Coventry Binley Road [AQ]","CV",,"Bromleigh Drive, Coventry CV2 5LY, UK","Traffic Urban","Coventry/Bedworth",52.407708,-1.490082,82
-3.0317889,51.6496546,"Cwmbran [AQ]","NP",,"37 Melbourne Ct, Cwmbran NP44 3ES, UK","Background Urban","South Wales",51.6538,-3.006953,71
-1.4746637,52.9264471,"Derby St Alkmund's Way [AQ]","DE",,"St Alkmund's Way, Derby DE1, UK","Traffic Urban","East Midlands",52.922983,-1.469507,51
-7.3373126,55.0026809,"Derry Rosemount [AQ]","BT",,"3 The Village, Londonderry BT48 0JG, UK","Background Urban","Northern Ireland",55.002818,-7.331179,54
-1.635757,53.6932747,"Dewsbury Ashworth Grove [AQ]","WF",,"36 Ashworth Rd, Dewsbury WF13 2NJ, UK","Background Urban","West Yorkshire Urban Area",53.693104,-1.637111,69
-1.13866,53.5144731,"Doncaster A630 Cleveland Street [AQ]","DN",,"37511 Kelham St, Doncaster DN1 3QU, UK","Traffic Urban","Yorkshire & Humberside",53.51824,-1.138057,15
-4.55973,55.943197,"Dumbarton Roadside [AQ]","G",,"St Patricks Church Hall, Dumbarton G82 1BA, UK","Traffic Urban","Central Scotland",55.943197,-4.55973,3
-3.60512,55.070859,"Dumfries [AQ]","DG",,"3 Montague St, Dumfries DG1 1HE, UK","Traffic Urban","Scottish Borders",55.070033,-3.614233,10
-2.9576596,56.4804488,"Dundee Mains Loan [AQ]","DD",,"59A Mains Loan, Dundee DD4 7DD, UK","Background Urban","North East Scotland",56.475434,-2.959861,84
-0.2687703,51.5149208,"Ealing Horn Lane [AQ]","W",,"162-164 Horn Ln, London W3 6PH, UK","Traffic Urban","Greater London Urban Area",51.51895,-0.265617,30
0.290472,50.768035,"Eastbourne [AQ]","BN",,"189-247 B2106, Eastbourne BN21 3PL, UK","Background Urban","South East",50.805778,0.271611,7
-3.1845747,55.9455007,"Edinburgh Nicolson Street [AQ]","EH",,"56 Nicolson St, Edinburgh EH8 9DT, UK","Traffic Urban","Edinburgh Urban Area",55.94476,-3.183991,85
-3.1790646,55.942928,"Edinburgh St Leonards [AQ]","EH",,"4 St Leonard's Ln, Edinburgh EH8 9SD, UK","Background Urban","Edinburgh Urban Area",55.945589,-3.182186,81
-3.1757396,55.2677887,"Eskdalemuir [AQ]","DG",,"Clerkhill, Eskdalemuir, Langholm DG13 0QH, UK","Background Rural","Scottish Borders",55.31531,-3.206111,255
-3.532465,50.725083,"Exeter Roadside [AQ]","EX",,"20 Queen St, Exeter EX4 3SN, UK","Traffic Urban","South West",50.725083,-3.532465,43
-5.1052179,56.819817,"Fort William [AQ]","PH",,"Belford Hospital, Fort William PH33 6BS, UK","Background Suburban","Highland",56.82266,-5.101102,5
-4.3296934,55.8916676,"Glasgow Great Western Road [AQ]","G",,"1768 Great Western Rd, Glasgow G13 2TL, UK","Traffic Urban","Glasgow Urban Area",55.872038,-4.270936,
-4.2410231,55.8593215,"Glasgow High Street [AQ]","G",,"170 High St, Glasgow G1 1PZ, UK","Traffic Urban","Glasgow Urban Area",55.860936,-4.238214,35
-4.2405865,55.8857344,"Glasgow Kerbside [AQ]","G",,"60 Finlas St, Glasgow G22 5DQ, UK","Traffic Urban","Glasgow Urban Area",55.85917,-4.258889,10
-4.23125,55.8657542,"Glasgow Townhead [AQ]","G",,"16 Alexandra Parade, Glasgow G31 2ES, United Kingdom","Background Urban","Glasgow Urban Area",55.865782,-4.243631,40
-2.5132896,53.4614737,"Glazebury [AQ]","WA",,"Culcheth Hall Farm Barns, Withington Ave, Culcheth, Warrington WA3 4AN, UK","Background Rural","North West & Merseyside",53.46008,-2.472056,21
-3.7121576,56.0129403,"Grangemouth Moray [AQ]","FK",,"15 Moray Pl, Grangemouth FK3 9DL, UK","Industrial Urban","Central Scotland",56.013142,-3.710833,4
-3.7227698,56.0097152,"Grangemouth [AQ]","FK",,"2 Kingseat Ave, Grangemouth FK3 0AG, UK","Industrial Urban","Central Scotland",56.010319,-3.704399,4
-4.771983,55.956476,"Greenock A8 Roadside [AQ]","PA",,"8 Jardine Terrace, Greenock PA16 8BP, UK","Traffic Urban","Central Scotland",55.944079,-4.734421,9
-3.118772,51.683515,"Hafod-yr-ynys Roadside [AQ]","NP",,"Hafodyrynys Hotel, Newport NP11 5BE, UK","Traffic Urban","South Wales",51.680579,-3.133508,
-0.1109709,51.5906113,"Haringey Roadside [AQ]","N",,"57 Hornsey Park Rd, Wood Green, London N8 0JU, UK","Traffic Urban","Greater London Urban Area",51.5993,-0.068218,10
-1.203838,54.683242,"Hartlepool St Abbs Walk [AQ]","TS",,"11 Sheerness Grove, Hartlepool TS24 7NR, UK","Background Urban","North East",54.683242,-1.203838,7
-0.80603,54.3343453,"High Muffles [AQ]","YO",,"Unnamed Road, Pickering YO18 8HP, UK","Background Rural","Yorkshire & Humberside",54.334944,-0.80855,267
-3.188683,50.799468,"Honiton [AQ]","EX",,"2 New St, Honiton EX14 1EY, UK","Background Urban","South West",50.792287,-3.196702,122
-0.172109,51.173516,"Horley [AQ]","RH",,"60 Sangers Dr, Horley RH6 8AL, UK","Industrial Suburban","South East",51.165865,-0.167734,40
-0.3352744,53.7446117,"Hull Freetown [AQ]","HU",,"Alfred Gelder Street C, Hull HU1 2AG, UK","Background Urban","Kingston upon Hull",53.74878,-0.341222,4
