"region","time_stamp","val_O3_mean","val_NO2_mean","val_SO2_mean","val_PM10_mean","val_PM2.5_mean","val_O3_max","val_NO2_max","val_SO2_max","val_PM10_max","val_PM2.5_max","val_Corylus","val_Alnus","val_Salix","val_Betula","val_Fraxinus","val_Ulmus","val_Quercus","val_Platanus","val_Poaceae","val_Urtica","val_Artemisia","val_Ambrosia","val_Temperature.mean","val_Temperature.max","val_Humidity.mean","val_Humidity.max","val_Pressure.mean","val_Pressure.max","val_Daily.rain","extra_rings_O3_mean","extra_rings_NO2_mean","extra_rings_SO2_mean","extra_rings_PM10_mean","extra_rings_PM2.5_mean","extra_rings_O3_max","extra_rings_NO2_max","extra_rings_SO2_max","extra_rings_PM10_max","extra_rings_PM2.5_max","extra_rings_Corylus","extra_rings_Alnus","extra_rings_Salix","extra_rings_Betula","extra_rings_Fraxinus","extra_rings_Ulmus","extra_rings_Quercus","extra_rings_Platanus","extra_rings_Poaceae","extra_rings_Urtica","extra_rings_Artemisia","extra_rings_Ambrosia","extra_rings_Temperature.mean","extra_rings_Temperature.max","extra_rings_Humidity.mean","extra_rings_Humidity.max","extra_rings_Pressure.mean","extra_rings_Pressure.max","extra_rings_Daily.rain"
"AB","2018-01-19",31,73.3333333333333,1,6,5,151,30.3333333333333,39,12,10,0,0,0,0,0,0,0,0,0,0,0,0,-1.6,-1.6,92.3666666666667,92.3666666666667,977.2375,978.2,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2018-03-17",87,26,2,31,9,189,233.666666666667,97,46,13,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,83.75,83.75,1018.63333333333,1021.1,5.45,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2018-10-15",22,37,2,10,5,138,245,75,18,18,0,0,0,0,0,0,0,0,0,0,0,0,5.06,5.06,89.3,89.3,1012.4875,1013.5,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
"AB","2018-02-06",53,36.3333333333333,2,6,3,157,233,69.5,9,8,0,0,0,0,0,0,0,0,0,0,0,0,1.775,1.775,83.925,83.925,997.077083333335,999.25,2.8,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2018-05-04",41,27.6666666666667,0.5,8,5,155,233.666666666667,28,12,10,0,0,0,74,0,0,29,0,0,0,0,0,12.6333333333333,12.6333333333333,75.5333333333333,75.5333333333333,997.050000000002,1000.8,1.025,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2018-11-15",41,24.6666666666667,0.5,16,8,156,239.333333333333,27.5,27,13,0,0,0,0,0,0,0,0,0,0,0,0,11.1,11.1,89.04,89.04,1009,1013.8,1.56,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
"AB","2018-09-20",52,25,1,8,2,158,212.333333333333,44.5,16,5,0,0,0,0,0,0,0,0,0,0,0,0,10.9666666666667,10.9666666666667,67.3333333333333,67.3333333333333,996.1625,998.6,4.9,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
"AB","2018-03-23",63,28,1.5,12,5,184,232.666666666667,44.5,26,12,2,1,0,0,0,0,0,0,0,0,0,0,5.375,5.375,92.325,92.325,969.533333333334,977.8,6.6,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2018-11-10",43,19.6666666666667,1,21,8,159,214,33.5,27,13,0,0,0,0,0,0,0,0,0,0,0,0,8.06,8.06,91.28,91.28,983.770833333333,988.5,10.58,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
"AB","2017-07-07",30,37.6666666666667,1,6,3,131,142,33.5,14,9,0,0,0,0,0,0,0,0,37,33,0,0,15.7,15.7,88.2666666666667,88.2666666666667,997.433333333333,999.2,0.933333333333333,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2018-07-29",40,13.3333333333333,2.5,17,6,144,183,45,25,10,0,0,0,0,0,0,0,0,1,1,0,0,14.08,14.08,78.88,78.88,979.777083333333,982.75,7.14,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2017-03-30",49,27.6666666666667,0.5,7,5,153,220,28,13,9,1,1,0,0,0,1,0,0,0,0,0,0,11.375,11.375,91.75,91.75,993.45,995.8,2.55,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2018-11-22",51,39.6666666666667,4.5,21,8,158,155.666666666667,78.5,38,15,0,0,0,0,0,0,0,0,0,0,0,0,5.78,5.78,95.74,95.74,1022.0125,1022.5,8.18,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
"AB","2017-09-02",45,23.3333333333333,1,12,6,152,222.666666666667,33.5,21,10,0,0,0,0,0,0,0,0,7,17,0,0,12.15,12.15,76.9,76.9,1001.70833333333,1005.7,0.266666666666667,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2018-07-31",43,16,1,12,5,144,196.666666666667,33.5,19,9,0,0,0,0,0,0,0,0,1,1,0,0,14.66,14.66,80.36,80.36,990.46875,992.95,5.52,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2017-07-10",41,33.6666666666667,1.5,8,4,146,216.666666666667,80.5,12,7,0,0,0,0,0,0,0,0,1,5,0,0,13.8,13.8,75.2333333333333,75.2333333333333,989.9375,991,7.16666666666667,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2018-11-13",36,39.6666666666667,1,12,4,152,79.6666666666667,39,32,10,0,0,0,0,0,0,0,0,0,0,0,0,4.8,4.8,90.7,90.7,1004.9875,1010.6,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
"AB","2017-06-01",42,30.3333333333333,1,16,8,157,150.333333333333,28,28,14,0,0,0,0,0,0,0,0,1,3,0,0,15.975,15.975,77.175,77.175,999.154166666667,1001.2,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2018-01-31",57,41.3333333333333,1.5,8,3,165,117.666666666667,39,15,7,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,73.8333333333333,73.8333333333333,967.447916666667,976.05,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2018-01-28",53,27.6666666666667,3,10,5,166,167.333333333333,86,18,16,0,0,0,0,0,0,0,0,0,0,0,0,5.36666666666667,5.36666666666667,77.7,77.7,991.045833333333,993.85,0.4,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2018-09-29",42,27,1.5,7,4,157,237,44.5,28,9,0,0,0,0,0,0,0,0,0,0,0,0,11,11,66.5,66.5,1015.9875,1025,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
"AB","2017-05-23",49,37.3333333333333,1,7,4,160,172,28,14,9,0,0,0,0,0,0,4,3,0,0,0,1,14.275,14.275,70.1,70.1,1000.95416666667,1005.5,10.9,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2017-07-16",46,13.6666666666667,0.5,5,2,146,119.666666666667,28,12,5,0,0,0,0,0,0,0,0,13,5,0,1,14.4666666666667,14.4666666666667,77.0333333333333,77.0333333333333,1003.29583333333,1006.1,5,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2018-01-13",43,21,2,24,12,147,194.333333333333,69.5,32,22,0,0,0,0,0,0,0,0,0,0,0,0,5,5,92,92,998.389583333335,1001.45,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2018-01-10",11,53.6666666666667,3,23,15,127,171.333333333333,97,40,30,0,0,0,0,0,0,0,0,0,0,0,0,3.9,3.9,97.8666666666667,97.8666666666667,985.983333333334,991.4,0.833333333333333,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2017-08-15",35,33.6666666666667,1,6,4,135,240,64,14,8,0,0,0,0,0,0,0,0,6,17,0,0,16.025,16.025,86,86,994.975,999,16.25,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2018-04-16",52,24.6666666666667,1,17,11,180,220,130,24,22,0,0,1,0,0,5,0,0,0,0,0,0,8.125,8.125,93.75,93.75,997.866666666667,998.6,1.35,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2018-12-16",40,20,1.5,11,5,146,224.666666666667,75,23,10,0,0,0,0,0,0,0,0,0,0,0,0,4.08,4.08,85.6,85.6,993.304166666667,1002,35.04,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
"AB","2018-02-09",44,56.6666666666667,1.5,11,5,160,9.66666666666667,50,22,15,0,0,0,0,0,0,0,0,0,0,0,0,2.35,2.35,74.625,74.625,984.166666666667,990.15,0.125,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2018-03-11",53,29.3333333333333,2.5,7,4,152,193.666666666667,64.5,15,8,0,0,0,0,0,0,0,0,0,0,0,0,3.63333333333333,3.63333333333333,95.5,95.5,976.29375,978.25,15.9666666666667,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2018-04-01",78,30.3333333333333,3,9,4,3,209.666666666667,108,13,10,0,0,0,0,0,0,0,0,0,0,0,0,2.7,2.7,65.3333333333333,65.3333333333333,1001.9875,1002.6,0.466666666666667,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2018-12-01",29,46,3,14,8,152,179.333333333333,76.5,31,22,0,0,0,0,0,0,0,0,0,0,0,0,2.975,2.975,89,89,994.5875,996.5,0.05,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
"AB","2017-07-25",37,35,2.5,6,4,136,150.666666666667,55.5,10,8,0,0,0,0,0,0,0,0,1,10,0,0,12.9,12.9,88.7333333333333,88.7333333333333,996.079166666667,999.7,0.3,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2018-03-26",53,42.3333333333333,2,10,5,171,263.666666666667,97,16,8,0,0,0,0,0,0,0,0,0,0,0,0,5.83333333333333,5.83333333333333,68.9666666666667,68.9666666666667,1001.05,1003.7,0.5,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2017-12-26",58,17,1.5,4,1,156,173.666666666667,58.5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,2.73333333333333,2.73333333333333,87.5333333333333,87.5333333333333,971.741666666667,975.1,6.63333333333333,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2017-12-23",54,32.6666666666667,1.5,5,2,164,246,39,13,8,0,0,0,0,0,0,0,0,0,0,0,0,12.9,12.9,70.6,70.6,1011.95833333333,1016.1,0.033333333333333,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2018-08-24",35,33.3333333333333,1,7,3,136,233,39,9,6,0,0,0,0,0,0,0,0,0,1,0,0,12.62,12.62,69.68,69.68,1003.84583333333,1007.3,0.36,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
"AB","2018-08-25",50,23.3333333333333,1,10,4,159,236,39,19,11,0,0,0,0,0,0,0,0,1,3,0,0,11.02,11.02,72.34,72.34,1010.8,1012.2,3.12,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
"AB","2018-08-26",41,13.6666666666667,1.5,11,5,144,186,44.5,16,8,0,0,0,0,0,0,0,0,0,0,0,0,10.575,10.575,86.45,86.45,1000.97916666667,1010.2,0.38,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
"AB","2017-12-17",48,26.6666666666667,1,7,4,162,225,64,13,7,0,0,0,0,0,0,0,0,0,0,0,0,3.23333333333333,3.23333333333333,97.7,97.7,1000.82916666667,1003.9,2.63333333333333,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2017-12-14",22,82.6666666666667,1.5,10,7,157,70,69.5,31,26,0,0,0,0,0,0,0,0,0,0,0,0,-1.76666666666667,-1.76666666666667,93.5666666666667,93.5666666666667,968.558333333333,970.5,0.033333333333333,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2018-08-15",30,22.6666666666667,1,8,4,149,225.666666666667,33.5,14,9,0,0,0,0,0,0,0,0,3,3,0,0,16.2,16.2,86.44,86.44,1003.52083333333,1006.9,0.88,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
"AB","2017-06-13",33,34.6666666666667,1,7,4,144,171.666666666667,27.5,13,8,0,0,0,0,0,0,0,0,61,27,0,2,14.225,14.225,82.525,82.525,999.383333333333,1000.2,1.575,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2017-12-08",65,22,1.5,5,3,168,180.666666666667,69.5,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0.566666666666667,0.566666666666667,76.7333333333333,76.7333333333333,996.7875,1000.6,2.56666666666667,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2017-04-17",65,34.3333333333333,14,10,4,179,254,58,21,6,1,0,0,4,1,0,0,1,0,0,0,0,7.06666666666667,7.06666666666667,68.7,68.7,1004.09583333333,1008.6,0.35,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2017-04-14",63,42,1,5,2,171,167.666666666667,33.5,11,5,0,0,0,1,1,0,0,1,0,0,1,0,8.35,8.35,74.5,74.5,995.333333333333,997.6,0.4,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2017-01-08",13,40.3333333333333,1,9,7,136,252.333333333333,33,19,14,0,0,0,0,0,0,0,0,0,0,0,0,4.6,4.6,94.9,94.9,1011.03333333333,1012.5,0.025,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2017-01-09",52,24.3333333333333,1,8,4,149,228.333333333333,33.5,11,10,0,0,0,0,0,0,0,0,0,0,0,0,6.35,6.35,80.6,80.6,995.666666666667,1006,0.65,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2017-09-10",38,18,1.5,9,4,142,207,44.5,14,8,0,0,0,0,0,0,0,0,0,0,0,0,10.4333333333333,10.4333333333333,96,96,974.870833333333,984,0.8,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2017-09-07",20,34.3333333333333,1,10,5,122,245,39,21,9,0,0,0,0,0,0,0,0,0,0,0,0,11.4666666666667,11.4666666666667,96.1,96.1,991.516666666667,997.6,0.433333333333333,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2018-05-09",58,20,1,13,5,179,203.666666666667,33.5,20,11,0,0,0,1,0,0,6,5,1,0,0,1,10.2,10.2,79.6,79.6,984.841666666666,987.95,0.275,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2018-05-10",67,45,1,11,5,178,95.3333333333333,33.5,25,8,0,0,0,1,0,0,0,2,1,0,0,0,11.175,11.175,58.7,58.7,989.945833333333,997.2,2.55,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2017-03-31",56,27.6666666666667,0.5,13,9,175,243,28,29,22,0,0,1,1,3,0,0,1,0,0,0,0,10.825,10.825,94.625,94.625,985.466666666667,988.3,2.175,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2017-11-30",73,34,1,6,2,174,236,33.5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.3,91.2,91.2,996.345833333333,1000,5.6,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2017-11-17",44,46,1,7,4,164,21,38.5,13,11,0,0,0,0,0,0,0,0,0,0,0,0,4.05,4.05,82.7,82.7,1008.62916666667,1010.2,0.075,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2017-04-08",57,29.3333333333333,1,16,11,177,237.666666666667,28,34,23,1,0,0,5,1,0,0,8,0,0,0,0,8.8,8.8,73.2,73.2,1001.97083333333,1005.1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2017-03-12",33,30.3333333333333,1,19,16,166,226.666666666667,119,46,45,2,13,2,0,1,1,0,0,0,0,0,0,8.025,8.025,94.45,94.45,995.945833333333,1004.2,3.025,0,0,1,0,0,0,0,1,0,0,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,5,5,0
"AB","2017-11-11",62,33.3333333333333,1,7,3,170,224.666666666667,64,12,5,0,0,0,0,0,0,0,0,0,0,0,0,3.35,3.35,74.4,74.4,992.125,994.7,0.9,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2017-11-08",29,37.6666666666667,2,8,4,142,183,86,15,10,0,0,0,0,0,0,0,0,0,0,0,0,-0.95,-0.95,92.2,92.2,1003.99166666667,1005.6,0.85,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2018-07-10",43,32,2.5,9,5,143,211,50.5,13,8,0,0,0,0,0,0,0,0,5,16,0,0,14.65,14.65,83.925,83.925,1007.30416666666,1008.4,0.225,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2017-03-03",64,54.3333333333333,2.5,7,4,184,110.666666666667,56,14,11,2,8,2,0,0,0,0,0,0,0,0,0,3.95,3.95,67.775,67.775,975.016666666667,985.3,0,0,0,1,0,0,0,0,1,0,0,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,5,5,0
"AB","2017-11-02",36,57,3,13,6,157,49,59,32,19,0,0,0,0,0,0,0,0,0,0,0,0,6.4,6.4,90.9,90.9,996.133333333333,996.7,1.925,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2018-09-22",50,24,1,6,2,148,181,33.5,9,8,0,0,0,0,0,0,0,0,0,0,0,0,10.3,10.3,73.1,73.1,1008.6125,1014.2,1.46666666666667,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
"AB","2018-02-03",16,59,2.5,8,7,122,188.333333333333,70,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0.475,0.475,92.1333333333333,92.1333333333333,988.904166666666,999.2,0.75,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2018-10-05",37,46.3333333333333,1.5,9,5,148,258.333333333333,58.5,12,9,0,0,0,0,0,0,0,0,0,0,0,0,6.14,6.14,84.64,84.64,1012.67083333333,1013.3,1.54,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
"AB","2017-05-29",53,28.3333333333333,1.5,10,5,158,144.666666666667,69.5,30,8,0,0,0,0,0,0,1,1,1,1,0,0,11.125,11.125,83.675,83.675,992.5,995.9,0.025,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2017-05-26",63,31.3333333333333,1.5,28,16,185,166,75,48,31,0,0,0,0,0,0,1,4,4,27,0,0,20.7333333333333,20.7333333333333,73.2333333333333,73.2333333333333,996.758333333333,1000.3,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2018-01-25",30,49.3333333333333,2,13,8,154,102.333333333333,75,25,20,0,0,0,0,0,0,0,0,0,0,0,0,2.56666666666667,2.56666666666667,90.9666666666667,90.9666666666667,978.089583333334,988.4,0.466666666666667,0,0,3,0,0,0,0,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2018-07-19",41,38.6666666666667,1,21,11,176,250,33.5,38,22,0,0,0,0,0,0,0,0,8,6,0,0,17.32,17.32,75.84,75.84,998.766666666666,1000.25,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
"AB","2017-05-05",68,40.3333333333333,5.5,20,11,189,247,79.5,27,18,0,0,0,3,0,0,3,1,1,0,1,0,10.675,10.675,72.025,72.025,1002.64166666667,1006.9,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,5,0
"AB","2018-01-04",36,53.6666666666667,5,14,6,163,113,96.5,21,15,0,0,0,0,0,0,0,0,0,0,0,0,0.366666666666667,0.366666666666667,95.1,95.1,970.4625,973.15,0.033333333333333,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
